candidate,inputs,tests,valid_on_fixed,lines_total,lines_covered,conditions_total,conditions_covered,log
1,0x7FFFFFFFFFFFFFFF|0x8000000000000000|0x10000000000000000|#80000000,4,True,380,48,350,23,evaluations/candidate_001.log
2,0xFFFFFFFF|-0x80000000,2,True,380,37,350,14,evaluations/candidate_002.log
3,0x1|0x80000000|0xFFFFFFFF|0x7FFFFFFFFFFFFFFF,4,True,380,40,350,18,evaluations/candidate_003.log
4,0x7F|0x8000000000000000,2,True,380,48,350,18,evaluations/candidate_004.log
5,0x10000000000000000,1,True,380,44,350,12,evaluations/candidate_005.log
6,0x1|0x80000000|0xFFFFFFFF|0X80000000,4,True,380,40,350,16,evaluations/candidate_006.log
7,0x1|0xFFFFFFFF|0x10000000000000000|#80000000,4,True,380,51,350,21,evaluations/candidate_007.log
8,0x8000000000000000|0x10000000000000000|#80000000,3,True,380,48,350,21,evaluations/candidate_008.log
9,0xFFFFFFFF,1,True,380,37,350,13,evaluations/candidate_009.log
10,0x8000000000000000,1,True,380,44,350,14,evaluations/candidate_010.log
